route_name,type,origin,destination,olat,olon,dlat,dlon,distance,time
Phoenix-Portland,airplane,Phoenix,Portland,33.4484367,-112.074141,45.5202471,-122.674194,1618.365113648652,3.022956392060815
Phoenix-Las Vegas,airplane,Phoenix,Las Vegas,33.4484367,-112.074141,36.171697,-115.1463536,412.70251324390665,1.5158781415548832
Phoenix-Memphis,airplane,Phoenix,Memphis,33.4484367,-112.074141,35.1460249,-90.0517638,2027.63275012293,3.5345409376536625
Phoenix-Baltimore,airplane,Phoenix,Baltimore,33.4484367,-112.074141,39.290386,-76.61219,3219.424502152844,5.024280627691055
Phoenix-Louisville,airplane,Phoenix,Louisville,33.4484367,-112.074141,38.2542376,-85.759407,2422.3314319792767,4.027914289974095
Philadelphia-New York,airplane,Philadelphia,New York,39.9527237,-75.1635262,40.7127281,-74.0060152,129.49005739225782,1.1618625717403224
Philadelphia-Los Angeles,airplane,Philadelphia,Los Angeles,39.9527237,-75.1635262,34.052235,-118.243683,3843.591778268986,5.804489722836234
Philadelphia-Chicago,airplane,Philadelphia,Chicago,39.9527237,-75.1635262,41.8755616,-87.6244212,1067.6583444130763,2.3345729305163454
Philadelphia-Houston,airplane,Philadelphia,Houston,39.9527237,-75.1635262,29.7589382,-95.3676974,2156.341866500929,3.695427333126161
Philadelphia-Phoenix,airplane,Philadelphia,Phoenix,39.9527237,-75.1635262,33.4484367,-112.074141,3344.2238981662795,5.18027987270785
Philadelphia-San Antonio,airplane,Philadelphia,San Antonio,39.9527237,-75.1635262,29.4246002,-98.4951405,2422.654891777947,4.0283186147224335
Philadelphia-San Diego,airplane,Philadelphia,San Diego,39.9527237,-75.1635262,32.7174202,-117.162772,3810.766184108693,5.763457730135866
Philadelphia-Dallas,airplane,Philadelphia,Dallas,39.9527237,-75.1635262,32.7762719,-96.7968559,2088.1372653295707,3.6101715816619633
Philadelphia-San Jose,airplane,Philadelphia,San Jose,39.9527237,-75.1635262,37.3361663,-121.890591,4022.073575564941,6.027591969456177
Philadelphia-Austin,airplane,Philadelphia,Austin,39.9527237,-75.1635262,30.2711286,-97.7436995,2309.604060669149,3.887005075836436
Philadelphia-Jacksonville,airplane,Philadelphia,Jacksonville,39.9527237,-75.1635262,30.3321838,-81.655651,1220.9325549221246,2.526165693652656
Philadelphia-Fort Worth,airplane,Philadelphia,Fort Worth,39.9527237,-75.1635262,32.753177,-97.3327459,2133.408674216869,3.666760842771086
Philadelphia-Columbus,airplane,Philadelphia,Columbus,39.9527237,-75.1635262,39.9622601,-83.0007065,667.7742659531192,1.8347178324413989
Philadelphia-Charlotte,airplane,Philadelphia,Charlotte,39.9527237,-75.1635262,35.2272086,-80.8430827,725.2991645033412,1.9066239556291764
Philadelphia-San Francisco,airplane,Philadelphia,San Francisco,39.9527237,-75.1635262,37.7792588,-122.4193286,4050.364908119653,6.062956135149566
Philadelphia-Indianapolis,airplane,Philadelphia,Indianapolis,39.9527237,-75.1635262,39.7683331,-86.1583502,938.0822795317312,2.1726028494146643
Philadelphia-Seattle,airplane,Philadelphia,Seattle,39.9527237,-75.1635262,47.6038321,-122.330062,3819.243491665566,5.774054364581958
Philadelphia-Denver,airplane,Philadelphia,Denver,39.9527237,-75.1635262,39.7392364,-104.984862,2534.045121966819,4.167556402458524
Philadelphia-Washington,airplane,Philadelphia,Washington,39.9527237,-75.1635262,38.8950368,-77.0365427,199.2783390746096,1.249097923843262
Philadelphia-Boston,airplane,Philadelphia,Boston,39.9527237,-75.1635262,42.3554334,-71.060511,435.0924472841164,1.5438655591051456
Philadelphia-El Paso,airplane,Philadelphia,El Paso,39.9527237,-75.1635262,31.7601164,-106.4870404,2948.672690691112,4.68584086336389
