route_name,type,origin,destination,olat,olon,dlat,dlon,distance,time,CO2,price
Chicago-Dallas,road,Chicago,Dallas,41.8755616,-87.6244212,32.7762719,-96.7968559,1540.7371,17.198638888888887,184.888452,77.036855
Chicago-San Jose,road,Chicago,San Jose,41.8755616,-87.6244212,37.3361663,-121.890591,3482.1406,37.59572222222222,417.856872,174.10703
Chicago-Austin,road,Chicago,Austin,41.8755616,-87.6244212,30.2711286,-97.7436995,1853.235,20.591166666666663,222.3882,92.66175
Chicago-Jacksonville,road,Chicago,Jacksonville,41.8755616,-87.6244212,30.3321838,-81.655651,1656.4578,19.573,198.774936,82.82289
Chicago-Fort Worth,road,Chicago,Fort Worth,41.8755616,-87.6244212,32.753177,-97.3327459,1592.1035,17.835833333333333,191.05242,79.605175
Chicago-Columbus,road,Chicago,Columbus,41.8755616,-87.6244212,39.9622601,-83.0007065,569.0421,6.770388888888889,68.285052,28.452105000000003
Chicago-Charlotte,road,Chicago,Charlotte,41.8755616,-87.6244212,35.2272086,-80.8430827,1203.5222,14.601083333333332,144.422664,60.17611000000001
Chicago-San Francisco,road,Chicago,San Francisco,41.8755616,-87.6244212,37.7792588,-122.4193286,3434.0911,37.05386111111111,412.090932,171.70455500000003
Chicago-Indianapolis,road,Chicago,Indianapolis,41.8755616,-87.6244212,39.7683331,-86.1583502,290.8266,3.5959166666666667,34.899192,14.54133
Chicago-Seattle,road,Chicago,Seattle,41.8755616,-87.6244212,47.6038321,-122.330062,3296.6161,36.03616666666667,395.593932,164.83080500000003
Chicago-Denver,road,Chicago,Denver,41.8755616,-87.6244212,39.7392364,-104.984862,1616.01,17.954833333333333,193.9212,80.8005
Chicago-Washington,road,Chicago,Washington,41.8755616,-87.6244212,38.8950368,-77.0365427,1121.4624,13.139277777777778,134.57548799999998,56.07312
Chicago-Boston,road,Chicago,Boston,41.8755616,-87.6244212,42.3554334,-71.060511,1597.8182,18.753027777777778,191.738184,79.89091
Chicago-El Paso,road,Chicago,El Paso,41.8755616,-87.6244212,31.7601164,-106.4870404,2458.2092,27.150388888888887,294.985104,122.91046
Chicago-Nashville,road,Chicago,Nashville,41.8755616,-87.6244212,36.1622767,-86.7742984,753.7627,8.849416666666666,90.451524,37.688135
Chicago-Detroit,road,Chicago,Detroit,41.8755616,-87.6244212,42.3315509,-83.0466403,453.0246,5.281166666666667,54.362952,22.65123
Chicago-Oklahoma City,road,Chicago,Oklahoma City,41.8755616,-87.6244212,35.4729886,-97.5170536,1286.7863,14.608833333333337,154.414356,64.339315
Chicago-Portland,road,Chicago,Portland,41.8755616,-87.6244212,45.5202471,-122.674194,3416.3081,36.85127777777778,409.956972,170.81540500000003
Chicago-Las Vegas,road,Chicago,Las Vegas,41.8755616,-87.6244212,36.171697,-115.1463536,2814.4124,30.57466666666667,337.729488,140.72062000000005
Chicago-Memphis,road,Chicago,Memphis,41.8755616,-87.6244212,35.1460249,-90.0517638,855.9293,9.740916666666667,102.711516,42.796465000000005
Chicago-Baltimore,road,Chicago,Baltimore,41.8755616,-87.6244212,39.290386,-76.61219,1131.2851,13.114416666666669,135.754212,56.564255
Chicago-Louisville,road,Chicago,Louisville,41.8755616,-87.6244212,38.2542376,-85.759407,474.5832,5.679083333333334,56.94998399999999,23.72916
Houston-New York,road,Houston,New York,29.7589382,-95.3676974,40.7127281,-74.0060152,2621.9029,30.24802777777777,314.628348,131.095145
Houston-Los Angeles,road,Houston,Los Angeles,29.7589382,-95.3676974,34.052235,-118.243683,2489.6315,26.448888888888888,298.75578,124.481575
Houston-Chicago,road,Houston,Chicago,29.7589382,-95.3676974,41.8755616,-87.6244212,1725.6536,19.70911111111112,207.078432,86.28268000000001
Houston-Phoenix,road,Houston,Phoenix,29.7589382,-95.3676974,33.4484367,-112.074141,1889.5962,19.80738888888889,226.751544,94.47981
Houston-Philadelphia,road,Houston,Philadelphia,29.7589382,-95.3676974,39.9527237,-75.1635262,2486.6923,28.681,298.403076,124.334615
Houston-San Antonio,road,Houston,San Antonio,29.7589382,-95.3676974,29.4246002,-98.4951405,315.3023,3.4954444444444444,37.836276,15.765115000000002
Houston-San Diego,road,Houston,San Diego,29.7589382,-95.3676974,32.7174202,-117.162772,2364.244,24.98361111111111,283.70928,118.2122
Houston-Dallas,road,Houston,Dallas,29.7589382,-95.3676974,32.7762719,-96.7968559,384.7025,4.242083333333333,46.1643,19.235125
Houston-San Jose,road,Houston,San Jose,29.7589382,-95.3676974,37.3361663,-121.890591,3032.5335,32.78888888888889,363.90402,151.626675
