type,route_name,origin,destination,time,distance,olat,olon,dlat,dlon
airplane,New York-Charlotte,New York,Charlotte,2.068227383889906,854.5819071119246,40.7127281,-74.0060152,35.2272086,-80.8430827
airplane,San Francisco-New York,San Francisco,New York,6.161142697501214,4128.914158000971,37.7792588,-122.4193286,40.7127281,-74.0060152
airplane,New York-San Francisco,New York,San Francisco,6.161142697501214,4128.914158000971,40.7127281,-74.0060152,37.7792588,-122.4193286
airplane,Indianapolis-New York,Indianapolis,New York,2.294967493146828,1035.9739945174624,39.7683331,-86.1583502,40.7127281,-74.0060152
airplane,New York-Indianapolis,New York,Indianapolis,2.294967493146828,1035.9739945174624,40.7127281,-74.0060152,39.7683331,-86.1583502
airplane,Seattle-New York,Seattle,New York,5.831763073908357,3865.4104591266855,47.6038321,-122.330062,40.7127281,-74.0060152
airplane,New York-Seattle,New York,Seattle,5.831763073908357,3865.4104591266855,40.7127281,-74.0060152,47.6038321,-122.330062
airplane,Denver-New York,Denver,New York,4.273250410371205,2618.600328296963,39.7392364,-104.984862,40.7127281,-74.0060152
airplane,New York-Denver,New York,Denver,4.273250410371205,2618.600328296963,40.7127281,-74.0060152,39.7392364,-104.984862
airplane,Washington-New York,Washington,New York,1.4105015048413532,328.40120387308264,38.8950368,-77.0365427,40.7127281,-74.0060152
airplane,New York-Washington,New York,Washington,1.4105015048413532,328.40120387308264,40.7127281,-74.0060152,38.8950368,-77.0365427
airplane,Boston-New York,Boston,New York,1.3821298629919068,305.70389039352534,42.3554334,-71.060511,40.7127281,-74.0060152
airplane,New York-Boston,New York,Boston,1.3821298629919068,305.70389039352534,40.7127281,-74.0060152,42.3554334,-71.060511
airplane,El Paso-New York,El Paso,New York,4.822516444904758,3058.013155923806,31.7601164,-106.4870404,40.7127281,-74.0060152
airplane,New York-El Paso,New York,El Paso,4.822516444904758,3058.013155923806,40.7127281,-74.0060152,31.7601164,-106.4870404
airplane,Nashville-New York,Nashville,New York,2.5252536237383283,1220.2028989906626,36.1622767,-86.7742984,40.7127281,-74.0060152
airplane,New York-Nashville,New York,Nashville,2.5252536237383283,1220.2028989906626,40.7127281,-74.0060152,36.1622767,-86.7742984
airplane,Detroit-New York,Detroit,New York,1.9668208044635855,773.4566435708686,42.3315509,-83.0466403,40.7127281,-74.0060152
airplane,New York-Detroit,New York,Detroit,1.9668208044635855,773.4566435708686,40.7127281,-74.0060152,42.3315509,-83.0466403
airplane,Oklahoma City-New York,Oklahoma City,New York,3.6638597224758263,2131.087777980661,35.4729886,-97.5170536,40.7127281,-74.0060152
airplane,New York-Oklahoma City,New York,Oklahoma City,3.6638597224758263,2131.087777980661,40.7127281,-74.0060152,35.4729886,-97.5170536
airplane,Portland-New York,Portland,New York,5.90653334364825,3925.2266749186,45.5202471,-122.674194,40.7127281,-74.0060152
airplane,New York-Portland,New York,Portland,5.90653334364825,3925.2266749186,40.7127281,-74.0060152,45.5202471,-122.674194
airplane,Las Vegas-New York,Las Vegas,New York,5.481679163011888,3585.3433304095106,36.171697,-115.1463536,40.7127281,-74.0060152
airplane,New York-Las Vegas,New York,Las Vegas,5.481679163011888,3585.3433304095106,40.7127281,-74.0060152,36.171697,-115.1463536
airplane,Memphis-New York,Memphis,New York,2.918008401783651,1534.406721426921,35.1460249,-90.0517638,40.7127281,-74.0060152
